title,Screen Size,Processor Brand,Processor Speed
"HP Pavilion 15 eg3035TX i7 1355U (8U6L7PA) (MX550 2GB, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"HP Pavilion 15 eg2034TX i7 1255U (6K780PA) (MX550 2GB, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"HP Pavilion 14 dv2071TU i7 1255U (7C0W0PA) (Intel Iris Xe, 14 inches, 1.7GHz)",14 inches,Intel,1.7GHz
"HP Probook 450 G10 i5 1335U (873D1PA) (Intel UHD, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"HP Pavilion 15 eg3033TX i5 1335U (8U6L6PA) (MX550 2GB, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"HP Probook 450 G9 i5 1235U (6M0Y9PA) (Intel UHD, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"HP Pavilion 15 eg2035TX i5 1235U (6K781PA) (MX550 2GB, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"HP Pavilion 15 eg2036TX i5 1235U (6K782PA) (MX550 2GB, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"HP Pavilion 15 eg3094TU i5 1335U (8C5L5PA) (Intel Iris Xe, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"HP Pavilion 15 eg2085TU i5 1240P (7C0Q7PA) (Intel Iris Xe, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"HP Pavilion X360 14 ek0131TU i3 1215U (7C0P6PA) (Intel UHD, 14 inches, 1.2GHz)",14 inches,Intel,1.2GHz
"HP Pavilion X360 14 ek0130TU i3 1215U (7C0P5PA) (Intel UHD, 14 inches, 1.2GHz)",14 inches,Intel,1.2GHz
"HP Pavilion 15 eg3098TU i3 1315U (8C5L9PA) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W) (Radeon, 15.6 inches, 2.8GHz)",15.6 inches,Intel,2.8GHz
"Asus Vivobook 15 OLED A1505ZA i5 12500H (L1337W) (Intel Iris Xe, 15.6 inches, 2.5GHz)",15.6 inches,Intel,2.5GHz
"Asus Vivobook X1404ZA i3 1215U (NK246W) (Intel UHD, 14 inches, 1.2GHz)",14 inches,Intel,1.2GHz
"Asus TUF Gaming F15 FX506HF i5 11400H (HN014W) (RTX 2050 4GB, 15.6 inches, 2.7GHz)",15.6 inches,Intel,2.7GHz
"Asus Vivobook 16 X1605VA i5 1335U (MB360W) (Intel Iris Xe, 16 inches, 1.3GHz)",16 inches,Intel,1.3GHz
"Asus Vivobook 15 X1504ZA i3 1215U (NJ102W) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN229W) (RTX 3050 4GB, 15.6 inches, 2.5GHz)",15.6 inches,Intel,2.5GHz
"Asus Vivobook 15 OLED A1505VA i5 13500H (L1341W) (Intel Iris Xe, 15.6 inches, 2.6GHz)",15.6 inches,Intel,2.6GHz
"Asus TUF Gaming F17 FX706HF i5 11400H (HX390W) (RTX 2050 4GB, 17.3 inches, 2.7GHz)",17.3 inches,Intel,2.7GHz
"Asus Vivobook 14 X1404VA i5 1335U (NK050W) (Intel Iris Xe, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"Asus TUF Gaming A15 FA507NU R5 7535HS (LP105W) (RTX 4050 6GB, 15.6 inches, 3.3GHz)",15.6 inches,AMD,3.3GHz
"Asus Vivobook 15 X1504VA i5 1335U (NJ025W) (Intel UHD, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Asus Vivobook S 14 Flip TP3402VA i5 13500H (LZ031W) (Intel Iris Xe, 14 inches, 2.6GHz)",14 inches,Intel,2.6GHz
"Asus Vivobook X415EA i3 1115G4 (EK2034W) (Intel UHD, 14 inches, 3GHz)",14 inches,Intel,3GHz
"Asus TUF Gaming F15 FX507VU i7 13620H (LP167W) (RTX 4050 6GB, 15.6 inches, 2.4GHz)",15.6 inches,Intel,2.4GHz
"Asus TUF Gaming F15 FX506HC i5 11400H (HN949W) (RTX 3050 4GB, 15.6 inches, 2.7GHz)",15.6 inches,Intel,2.7GHz
"Asus TUF Gaming A15 FA506NF R5 7535HS (HN012W) (RTX 2050 4GB, 15.6 inches, 3.3GHz)",15.6 inches,AMD,3.3GHz
"Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN074W) (RTX 3050 4GB, 15.6 inches, 2.5GHz)",15.6 inches,Intel,2.5GHz
"Asus Vivobook X515EA i3 1115G4 (EJ3948W) (Intel UHD, 15.6 inches, 3GHz)",15.6 inches,Intel,3GHz
"Asus Vivobook 14X OLED K3405VC i5 13500H (KM006W) (RTX 3050 4GB, 14 inches, 2.6GHz)",14 inches,Intel,2.6GHz
"Asus Vivobook 15 OLED A1505VA i9 13900H (L1386W) (Intel Iris Xe, 15.6 inches, 2.6GHz)",15.6 inches,Intel,2.6GHz
"Asus Vivobook 15 OLED A1505VA i7 13700H (L1338W) (Intel Iris Xe, 15.6 inches, 2.4GHz)",15.6 inches,Intel,2.4GHz
"Asus TUF Gaming A15 FA507NV R7 7735HS (LP031W) (RTX 4060 8GB, 15.6 inches, 3.2GHz)",15.6 inches,AMD,3.2GHz
"Asus Zenbook 14 OLED UX3402VA i5 1340P (KM085W) (Intel Iris Xe, 14 inches, 1.9GHz)",14 inches,Intel,1.9GHz
"Asus Vivobook 15 OLED A1505VA i5 13500H (L1052W) (Intel UHD, 15.6 inches, 2.6GHz)",15.6 inches,Intel,2.6GHz
"Asus Zenbook 14 OLED UX3405MA Ultra 7 155H (PP152W) (Intel Arc Graphics, 14 inches, 1.4GHz)",14 inches,Intel,1.4GHz
"Asus Vivobook 15 X1504VA i7 1355U (NJ023W) (Intel Iris Xe, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"Asus Zenbook 14 Flip OLED UP3404VA i5 1340P (KN038W) (Intel Iris Xe, 14 inches, 1.9GHz)",14 inches,Intel,1.9GHz
"Asus Zenbook 14 OLED UX3405MA Ultra 5 125H (PP151W) (Intel Arc Graphics, 14 inches, 1.2GHz)",14 inches,Intel,1.2GHz
"Asus TUF Gaming A15 FA506NC R5 7535HS (HN017W) (RTX 3050 4GB, 15.6 inches, 3.3GHz)",15.6 inches,AMD,3.3GHz
"Asus Vivobook 14X OLED S3405VA i5 13500H (KM072W) (Intel Iris Xe, 14 inches, 2.6GHz)",14 inches,Intel,2.6GHz
"Asus Gaming ROG Zephyrus G16 GU605MV Ultra 9 185H (QR135W) (RTX 4060 8GB, 16 inches, 2.30 GHz)",16 inches,Intel,2.30 GHz
"Asus Vivobook Go 15 E1504FA R5 7520U (NJ630W) (Radeon, 15.6 inches, 2.8GHz)",15.6 inches,Intel,2.8GHz
"Asus Gaming ROG Zephyrus G16 GU605MI Ultra 9 185H (QR116W) (RTX 4070 8GB, 16 inches, 2.30 GHz)",16 inches,I do not know.,2.30 GHz
"Asus Gaming ROG Strix G15 G513IH R7 4800H (HN015W) (GTX 1650 4GB, 15.6 inches, 2.9GHz)",15.6 inches,AMD,2.9GHz
"Asus Vivobook X1404ZA i5 1235U (NK376W) (Intel Iris Xe, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"Asus Vivobook 15 OLED A1505VA i9 13900H (L1201W) (Intel Iris Xe, 15.6 inches, 2.6GHz)",15.6 inches,Intel,2.6GHz
"Asus Gaming TUF Dash F15 FX517ZE i5 12450H (HN045W) (RTX 3050Ti 4GB, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"Asus Zenbook 14 Flip OLED UP3404VA i7 1360P (KN039W) (Intel Iris Xe, 14 inches, 2.2GHz)",14 inches,Intel,2.2GHz
"Asus TUF Gaming F15 FX507VV i7 13620H (LP181W) (RTX 4060 8GB, 15.6 inches, 2.4GHz)",15.6 inches,Intel,2.4GHz
"Asus Gaming ROG Strix SCAR 18 G834JY i9 13980HX (N6039W) (RTX 4090 16GB, 18 inches, 2.2GHz)",18 inches,Intel,2.2GHz
"Asus Gaming ROG Strix SCAR 17 G733PZ R9 7945HX (LL980W) (RTX 4080 12GB, 17.3 inches, 2.5GHz)",17.3 inches,Intel,2.5GHz
"Asus Gaming ROG Strix SCAR 18 G834JYR i9 14900HX (R6011W) (RTX 4090 16GB, 18 inches, 2.2GHz)",18 inches,Intel,2.2GHz
"Asus Gaming ROG Strix SCAR 16 G634JZR i9 14900HX (NM009W) (RTX 4080 12GB, 16 inches, 2.2GHz)",16 inches,Intel Core i9 14900HX,2.2GHz
"Asus Gaming ROG Zephyrus Duo 16 GX650PZ R9 7945HX (NM031W) (RTX 4080 12GB, 16 inches, 2.5GHz)",16 inches,Intel,2.5GHz
"Asus Gaming ROG Strix SCAR 16 G634JZ i9 13980HX (N4029W) (RTX 4080 12GB, 16 inches, 2.2GHz)",16 inches,Intel,2.2GHz
"Asus Gaming ROG Zephyrus M16 GU604VI i9 13900H (NM779W) (RTX 4070 8GB, 16 inches, 2.6GHz)",16 inches,Intel,2.6GHz
"Asus Gaming ROG Strix SCAR G18 G814JIR i9 14900HX (N6007W) (RTX 4070 8GB, 18 inches, 2.2GHz)",18 inches,Intel,2.2GHz
"Asus Gaming ROG Flow X16 GV601VV i9 13900H (NL016W) (RTX 4060 8GB, 16 inches, 2.6GHz)",16 inches,Intel,2.6GHz
"Asus Gaming ROG Flow X13 GV302XU R9 7940HS (MU223W) (RTX 4050 6GB, 13.4 inches, 4GHz)",13.4 inches,Intel,4GHz
"Asus Zenbook S 13 OLED UX5304VA i7 1355U (NQ126W) (Intel Iris Xe, 13.3 inches, 1.7GHz)",13.3 inches,Intel,1.7GHz
"Asus ExpertBook B9 OLED B9403CVA i7 1355U (KM0157X) (Intel Iris Xe, 14 inches, 1.7GHz)",14 inches,Intel,1.7GHz
"Asus TUF Gaming F15 FX507VV i7 13620H (LP171W) (RTX 4060 8GB, 15.6 inches, 2.4GHz)",15.6 inches,Intel,2.4GHz
"Asus TUF Gaming A15 FA507XI R9 7940HS (LP420W) (RTX 4070 8GB, 15.6 inches, 4GHz)",15.6 inches,AMD,4GHz
"Asus Gaming ROG Zephyrus G14 GA402NJ R7 7735HS (L4056W) (RTX 3050 6GB, 14 inches, 3.2GHz)",14 inches,AMD,3.2GHz
"Asus Gaming ROG Strix G16 G614JU i5 13450HX (N3135W) (RTX 4050 6GB, 16 inches, 2.4GHz)",16 inches,Intel,2.4GHz
"Asus Zenbook S 13 OLED UX5304VA i7 1355U (NQ125W) (Intel Iris Xe, 13.3 inches, 1.7GHz)",13.3 inches,Intel,1.7GHz
"Asus Zenbook 14 OLED UX3402VA i7 1360P (KM068W) (Intel Iris Xe, 14 inches, 2.2GHz)",14 inches,Intel,2.2GHz
"Asus Zenbook 14 OLED UM3402YA R5 7530U (KM405W) (Radeon, 14 inches, 2GHz)",14 inches,AMD,2GHz
"Asus Vivobook 14 A1405VA i3 1315U (LY097W) (Intel UHD, 14 inches, 1.2GHz)",14 inches,Intel,1.2GHz
"Acer Aspire 3 A315 510P 32EF i3 N305 (NX.KDHSV.001) (Intel UHD, 15.6 inches, N305)",15.6 inches,Intel,I do not know.
"Acer Aspire Lite 15 51M 5542 i5 1155G7 (NX.KS5SV.001) (Intel Iris Xe, 15.6 inches, 2.5GHz)",15.6 inches,Intel,2.5GHz
"Acer Aspire 5 Gaming A515 58GM 51LB i5 13420H (NX.KQ4SV.002) (RTX 2050 4GB, 15.6 inches, 2.1GHz)",15.6 inches,Intel,2.1GHz
"Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002) (Radeon, 15.6 inches, 1.8GHz)",15.6 inches,AMD,1.8GHz
"Acer Nitro 5 Gaming AN515 57 5669 i5 11400H (NH.QEHSV.001) (GTX 1650 4GB, 15.6 inches, 2.7GHz)",15.6 inches,Intel,2.7GHz
"Acer Aspire 3 A315 58 589K i5 1135G7 (NX.AM0SV.008) (Intel Iris Xe, 15.6 inches, 2.4GHz)",15.6 inches,Intel,2.4GHz
"Acer Aspire 7 Gaming A715 43G R8GA R5 5625U (NH.QHDSV.002) (RTX 3050 4GB, 15.6 inches, 2.30 GHz)",15.6 inches,AMD,2.30 GHz
"Acer Aspire 3 A315 59 38PG i3 1215U (NX.K6TSV.00A) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001) (Radeon, 14 inches, 1.8GHz)",14 inches,AMD,1.8GHz
"Acer TravelMate P4 TMP414 51 50HX i5 1135G7 (NX.VP2SV.00T) (Intel Iris Xe, 14 inches, 2.4GHz)",14 inches,Intel,2.4GHz
"Acer Aspire 5 A515 58P 34RJ i3 1315U (NX.KHJSV.003) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"Acer Aspire 7 Gaming A715 76G 5806 i5 12450H (NH.QMFSV.002) (RTX 3050 4GB, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"Acer Aspire 3 A315 59 5283 i5 1235U (NX.K6TSV.00B) (Intel UHD, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Acer Gaming Nitro V ANV15 51 53NE i5 13420H (NH.QNASV.002) (RTX 2050 4GB, 15.6 inches, 2.1GHz)",15.6 inches,Intel,2.1GHz
"Acer Aspire 3 A315 58 54XF i5 1135G7 (NX.AM0SV.007) (Intel Iris Xe, 15.6 inches, 2.4GHz)",15.6 inches,Intel,2.4GHz
"Acer Nitro 5 Tiger AN515 58 52SP i5 12500H (NH.QFHSV.001) (RTX 3050 4GB, 15.6 inches, 2.5GHz)",15.6 inches,Intel,2.5GHz
"Acer Aspire 5 A514 56P 54TN i5 1335U (NX.KHRSV.004) (Intel Iris Xe, 14 inches, 1.3GHz)",14 inches,Intel,1.3GHz
"Acer Aspire 5 A514 54 5127 i5 1135G7 (NX.A28SV.007) (Intel Iris Xe, 14 inches, 2.4GHz)",14 inches,Intel,2.4GHz
"Acer Aspire 3 A314 35 P3G9 N6000 (NX.A7SSV.007) (Intel UHD, 14 inches, 1.1GHz)",14 inches,Intel,1.1GHz
"Acer Swift 3 SF314 511 55QE i5 1135G7 (NX.ABNSV.003) (Intel Iris Xe, 14 inches, 2.4GHz)",14 inches,Intel,2.4GHz
"Acer Aspire 3 A314 35 C3KS N5100 (NX.A7SSV.009) (Intel UHD, 14 inches, 1.1GHz)",14 inches,Intel,1.1GHz
"Acer Gaming Nitro V ANV15 51 57B2 i5 13420H (NH.QN8SV.001) (RTX 4050 6GB, 15.6 inches, 2.1GHz)",15.6 inches,Intel,2.1GHz
"Acer Gaming Nitro 5 AN515 58 769J i7 12700H (NH.QFHSV.003) (RTX 3050 4GB, 15.6 inches, 2.30 GHz)",15.6 inches,Intel,2.30 GHz
"Acer TravelMate P4 TMP414 51G 59R6 i5 1135G7 (NX.VP9SV.001) (MX350 2GB, 14 inches, 2.4GHz)",14 inches,Intel,2.4GHz
"Acer Aspire 7 Gaming A715 76G 59MW i5 12450H (NH.QMYSV.001) (RTX 2050 4GB, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"Acer Swift 3 SF314 512 56QN i5 1240P (NX.K0FSV.002) (Intel Iris Xe, 14 inches, 1.7GHz)",14 inches,Intel,1.7GHz
"Acer Gaming Predator Helios 16 PH16 71 72BV i7 13700HX (NH.QJRSV.001) (RTX 4070 8GB, 16 inches, 2.1GHz)",16 inches,Intel Core i7,2.1GHz
"Acer Nitro 5 Tiger AN515 58 773Y i7 12700H (NH.QFKSV.001) (RTX 3050Ti 4GB, 15.6 inches, 2.30 GHz)",15.6 inches,Intel,2.30 GHz
"Acer Gaming Nitro V ANV15 51 58AN i5 13420H (NH.QNASV.001) (RTX 2050 4GB, 15.6 inches, 2.1GHz)",15.6 inches,Intel,2.1GHz
"Acer Aspire 5 A515 58M 56YX i5 13420H (NX.KQ8SV.005) (Intel UHD, 15.6 inches, 2.1GHz)",15.6 inches,Intel,2.1GHz
"Acer Gaming Nitro 5 AN515 57 53F9 i5 11400H (NH.QENSV.008) (RTX 3050 4GB, 15.6 inches, 2.7GHz)",15.6 inches,Intel,2.7GHz
"Lenovo Ideapad 1 15ALC7 R7 5700U (82R400C1VN) (Radeon, 15.6 inches, 1.8GHz)",15.6 inches,AMD,1.8GHz
"Lenovo V14 G3 ABA R5 5625U (82TU006SVN) (Radeon, 14 inches, 2.30 GHz)",14 inches,AMD,2.30 GHz
"Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN) (Intel UHD, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"Lenovo V15 G4 IRU i5 1335U (83A1000LVN) (Intel Iris Xe, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Lenovo Ideapad 5 15IAL7 i5 1235U (82SF005HVN) (Intel Iris Xe, 15.6 inches, 1.3GHz)",15.6 inches,Intel,1.3GHz
"Lenovo Ideapad 3 15IAU7 i3 1215U (82RK005LVN) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000FVN) (Intel UHD, 15.6 inches, 2GHz)",15.6 inches,Intel,2GHz
"Lenovo Ideapad 3 15IAU7 i3 1215U (82RK00RWVN) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"Lenovo Ideapad 3 15ITL6 i5 1155G7 (82H803RRVN) (Intel Iris Xe, 15.6 inches, 2.5GHz)",15.6 inches,Intel,2.5GHz
"Lenovo IdeaPad 1 15AMN7 R5 7520U (82VG0061VN) (AMD Radeon 610M, 15.6 inches, 2.8GHz)",15.6 inches,AMD,2.8GHz
"Lenovo ThinkBook 15 G5 IRL i7 1355U (21JD002AVN) (Intel Iris Xe, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"Lenovo Ideapad 3 15IAU7 i3 1215U (82RK001MVN) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"Lenovo Ideapad Slim 3 15IRH8 i7 13620H (83EM003FVN) (Intel UHD, 15.6 inches, 2.4GHz)",15.6 inches,Intel,2.4GHz
"Lenovo Ideapad 3 15IAU7 i7 1255U (82RK00X0VN) (Intel Iris Xe, 15.6 inches, 1.7GHz)",15.6 inches,Intel,1.7GHz
"Lenovo Ideapad 5 Pro 14IAP7 i5 1240P (82SH000SVN) (Intel Iris Xe, 14 inches, 1.7GHz)",14 inches,Intel,1.7GHz
"Lenovo Ideapad Gaming 3 15ACH6 R5 5500H (82K2027PVN) (RTX 2050 4GB, 15.6 inches, 3.3GHz)",15.6 inches,AMD,3.3GHz
"Lenovo Yoga 7 14IRL8 i7 1360P (82YL006BVN) (Intel Iris Xe, 14 inches, 2.2GHz)",14 inches,Intel,2.2GHz
"Lenovo IdeaPad Slim 5 Light 14ABR8 R5 7530U (82XS002KVN) (Radeon, 14 inches, 2GHz)",14 inches,AMD,2GHz
"Lenovo Ideapad 5 Pro 14IAP7 i7 1260P (82SH002SVN) (Intel Iris Xe, 14 inches, 2.1GHz)",14 inches,Intel,2.1GHz
"Lenovo Ideapad 3 15ITL6 i3 1115G4 (82H803SFVN) (Intel UHD, 15.6 inches, 3GHz)",15.6 inches,Intel,3GHz
"Lenovo Yoga 7 14IRL8 i5 1340P (82YL006AVN) (Intel Iris Xe, 14 inches, 1.9GHz)",14 inches,Intel,1.9GHz
"Lenovo Ideapad 3 15IAU7 i3 1215U (82RK00QYVN) (Intel UHD, 15.6 inches, 1.2GHz)",15.6 inches,Intel,1.2GHz
"Lenovo LOQ Gaming 15IRH8 i7 13620H (82XV00QXVN) (RTX 4050 6GB, 15.6 inches, 2.4GHz)",15.6 inches,Intel,2.4GHz
"Lenovo LOQ Gaming 15IAX9 i5 12450HX (83GS000JVN) (RTX 3050 6GB, 15.6 inches, 12450HX)",15.6 inches,Intel,I do not know.
"Lenovo Gaming Legion 5 16IRH8 i5 13500H (82YA00BSVN) (RTX 4050 6GB, 16 inches, 2.6GHz)",16 inches,Intel,2.6GHz
"Lenovo LOQ Gaming 15IRH8 i5 13420H (82XV00Q4VN) (RTX 4050 6GB, 15.6 inches, 2.1GHz)",15.6 inches,Intel,2.1GHz
